=== Germanium ROHF Term-Dependent 3P (Z=32) ===
No cache found. Computing geometry and saving to geometry_Z32.0_R30.0_N300_K8_g3.00.jld2 ...
Comenzando ciclo SCF ROHF...
Iter | E_total (Ha)   | Delta E    | Time (s)
------------------------------------------------------------------------------
  [Level Shift Active: b = 3.000 Ha]
1    | -1561.24820984 |   1.56e+03 |   1.3723
  [Level Shift Active: b = 3.000 Ha]
2    | -2456.75221693 |   8.96e+02 |   1.3515
  [Level Shift Active: b = 3.000 Ha]
3    | -1732.40751755 |   7.24e+02 |   1.3102
  [Level Shift Active: b = 3.000 Ha]
4    | -2371.51170176 |   6.39e+02 |   1.2556
  [Level Shift Active: b = 3.000 Ha]
5    | -1947.19463675 |   4.24e+02 |   1.2571
  [Level Shift Active: b = 3.000 Ha]
6    | -2124.32599571 |   1.77e+02 |   1.3164
  [Level Shift Active: b = 3.000 Ha]
7    | -2057.65374956 |   6.67e+01 |   1.3717
  [Level Shift Active: b = 3.000 Ha]
8    | -2079.45682956 |   2.18e+01 |   1.2628
  [Level Shift Active: b = 3.000 Ha]
9    | -2073.46219987 |   5.99e+00 |   1.2697
  [Level Shift Active: b = 3.000 Ha]
10   | -2075.30703796 |   1.84e+00 |   1.2662
  [Level Shift Active: b = 3.000 Ha]
11   | -2074.92790476 |   3.79e-01 |   1.2807
  [Level Shift Active: b = 3.000 Ha]
12   | -2075.11624744 |   1.88e-01 |   1.2822
  [Level Shift Active: b = 3.000 Ha]
13   | -2075.13282687 |   1.66e-02 |   1.3566
  [Level Shift Active: b = 3.000 Ha]
14   | -2075.18005149 |   4.72e-02 |   1.2797
  [Level Shift Active: b = 3.000 Ha]
15   | -2075.20864186 |   2.86e-02 |   1.2702
  [Level Shift Active: b = 3.000 Ha]
16   | -2075.23406115 |   2.54e-02 |   1.2868
  [Level Shift Active: b = 3.000 Ha]
17   | -2075.25411747 |   2.01e-02 |   1.2701
  [Level Shift Active: b = 3.000 Ha]
18   | -2075.27070293 |   1.66e-02 |   1.3842
  [Level Shift Active: b = 3.000 Ha]
19   | -2075.28432261 |   1.36e-02 |   1.2704
  [Level Shift Active: b = 3.000 Ha]
20   | -2075.29560725 |   1.13e-02 |   1.2853
  [Level Shift Active: b = 3.000 Ha]
21   | -2075.30498741 |   9.38e-03 |   1.2679
22   | -2075.31281990 |   7.83e-03 |   1.2719
23   | -2075.31938512 |   6.57e-03 |   1.2996
24   | -2075.32490923 |   5.52e-03 |   1.3605
25   | -2075.32957446 |   4.67e-03 |   1.2836
26   | -2075.33352859 |   3.95e-03 |   1.2749
27   | -2075.33689186 |   3.36e-03 |   1.2823
28   | -2075.33976245 |   2.87e-03 |   1.2715
29   | -2075.34222082 |   2.46e-03 |   1.3745
30   | -2075.34433312 |   2.11e-03 |   1.2836
31   | -2075.34615393 |   1.82e-03 |   1.2700
32   | -2075.34772838 |   1.57e-03 |   1.2855
33   | -2075.34909396 |   1.37e-03 |   1.2690
34   | -2075.35028188 |   1.19e-03 |   1.3945
35   | -2075.35131820 |   1.04e-03 |   1.2702
36   | -2075.35222478 |   9.07e-04 |   1.2905
37   | -2075.35301998 |   7.95e-04 |   1.2720
38   | -2075.35371927 |   6.99e-04 |   1.2806
39   | -2075.35433575 |   6.16e-04 |   1.3714
40   | -2075.35488052 |   5.45e-04 |   1.2694
41   | -2075.35536303 |   4.83e-04 |   1.3103
42   | -2075.35579134 |   4.28e-04 |   1.2817
43   | -2075.35617232 |   3.81e-04 |   1.2871
44   | -2075.35651191 |   3.40e-04 |   1.3706
45   | -2075.35681518 |   3.03e-04 |   1.2865
46   | -2075.35708651 |   2.71e-04 |   1.2716
47   | -2075.35732970 |   2.43e-04 |   1.2830
48   | -2075.35754805 |   2.18e-04 |   1.2736
49   | -2075.35774439 |   1.96e-04 |   1.4213
50   | -2075.35792123 |   1.77e-04 |   1.2684
51   | -2075.35808073 |   1.60e-04 |   1.2697
52   | -2075.35822479 |   1.44e-04 |   1.2943
53   | -2075.35835509 |   1.30e-04 |   1.2774
54   | -2075.35847309 |   1.18e-04 |   1.3854
55   | -2075.35858007 |   1.07e-04 |   1.2693
56   | -2075.35867719 |   9.71e-05 |   1.2912
57   | -2075.35876544 |   8.82e-05 |   1.2705
